Extracurricular Activities,Previous Scores,Hours Studied,Sleep Hours,Sample Question Papers Practiced,Performance Index
No,54,8,8,9,49
Yes,84,8,9,6,79
No,52,1,9,0,26
Yes,55,5,9,7,42
Yes,61,3,8,3,42
No,59,1,8,8,35
Yes,52,4,6,5,31
No,59,8,9,0,50
No,41,3,4,1,18
Yes,74,2,6,2,50
No,86,9,9,1,82
Yes,94,5,8,9,78
No,58,7,8,6,53
Yes,84,2,8,0,65
No,76,9,9,8,76
Yes,97,9,8,1,94
Yes,93,4,5,3,79
No,45,4,8,7,27
Yes,53,6,9,2,43
Yes,43,6,6,8,30
Yes,61,1,8,6,37
Yes,90,9,7,9,90
Yes,94,2,5,2,68
Yes,78,5,9,2,64
No,75,9,8,4,73
No,73,4,7,4,53
No,66,3,9,9,46
No,46,7,6,4,37
Yes,42,6,5,8,29
Yes,86,8,8,8,80
No,72,3,6,5,52
Yes,41,5,9,6,29
No,81,4,7,9,70
Yes,55,4,9,7,40
Yes,64,4,9,8,49
No,99,8,5,5,92
Yes,54,6,8,7,46
No,63,3,6,1,42
No,54,5,5,9,41
No,70,6,7,7,60
Yes,53,5,8,1,41
Yes,93,6,5,7,83
No,53,8,7,1,43
Yes,45,7,7,2,36
No,53,5,6,6,38
No,56,6,9,8,47
Yes,57,4,7,2,40
No,59,9,7,4,59
Yes,90,4,9,8,76
Yes,56,1,4,6,31
Yes,55,7,7,1,44
No,79,7,8,4,71
No,78,4,5,4,59
Yes,91,3,9,8,69
Yes,71,8,9,1,63
No,99,5,9,0,87
Yes,83,7,8,3,77
Yes,48,4,9,3,31
No,66,4,8,0,47
No,85,8,6,9,78
No,91,8,4,6,86
Yes,72,2,9,1,48
No,49,2,4,8,24
No,56,3,9,6,39
No,88,3,8,6,71
No,88,1,5,0,60
No,75,3,4,8,54
No,56,6,4,9,45
No,57,8,8,8,51
Yes,91,6,4,1,78
No,62,5,6,9,48
Yes,73,4,8,8,59
Yes,47,3,4,1,28
No,52,4,4,1,35
Yes,62,7,4,7,55
No,96,1,8,2,69
Yes,93,7,5,2,87
No,59,1,7,6,32
Yes,61,2,9,9,37
No,86,4,4,5,66
No,91,1,7,6,66
Yes,62,9,7,5,56
Yes,80,6,4,8,70
No,74,1,4,1,48
Yes,42,1,9,7,17
No,73,6,7,5,59
Yes,72,4,5,3,56
No,85,4,7,5,66
Yes,56,6,5,5,41
No,84,7,6,9,76
Yes,58,9,5,2,54
No,69,5,9,7,57
Yes,62,9,8,4,62
No,54,4,4,9,38
Yes,98,2,6,3,73
Yes,96,3,7,1,72
No,53,1,5,9,28
Yes,41,6,6,0,28
Yes,78,6,8,6,67
No,88,1,5,9,62
No,57,3,9,2,36
No,45,5,7,2,33
No,98,3,7,2,74
Yes,71,3,5,9,52
Yes,60,3,8,2,38
Yes,79,5,4,1,62
No,67,5,4,5,50
Yes,66,4,7,9,48
Yes,41,1,8,2,15
No,72,5,7,0,51
Yes,55,5,4,9,37
Yes,78,4,7,8,59
No,61,6,5,5,46
Yes,95,4,9,5,78
No,82,7,5,9,74
No,86,7,9,8,78
Yes,52,2,8,1,27
Yes,95,3,4,9,74
Yes,41,1,8,8,15
No,53,8,8,2,46
No,95,9,4,2,90
Yes,77,4,6,2,58
Yes,80,6,6,0,65
No,67,9,7,9,65
Yes,46,6,6,6,36
Yes,57,9,5,9,52
No,95,4,9,6,79
Yes,80,8,8,1,74
Yes,94,9,7,5,93
Yes,75,4,8,3,57
Yes,80,5,4,6,65
No,75,8,6,6,69
No,83,6,4,3,71
No,43,7,7,2,31
No,96,3,9,6,78
Yes,69,7,5,8,60
Yes,63,8,6,3,58
Yes,59,6,4,5,46
Yes,85,9,9,6,87
No,95,6,6,9,81
Yes,70,9,8,2,69
Yes,63,4,5,4,46
No,46,8,9,0,41
No,65,4,6,5,50
No,52,2,5,4,24
Yes,93,9,9,6,97
No,47,5,8,8,35
Yes,94,4,8,3,82
Yes,44,2,4,8,24
No,83,1,7,5,59
No,52,7,4,4,42
No,68,6,5,1,56
Yes,59,2,4,0,30
Yes,53,8,9,7,49
Yes,71,4,6,5,56
No,99,8,9,6,98
Yes,89,7,4,5,79
Yes,66,5,7,9,54
Yes,95,8,9,6,93
Yes,64,9,9,8,63
No,91,5,9,4,76
Yes,43,5,7,0,27
No,60,2,9,0,35
No,57,5,5,8,39
Yes,78,3,8,4,59
Yes,54,7,7,1,50
No,92,5,5,2,77
Yes,77,8,7,0,70
No,87,1,7,5,62
Yes,91,3,8,5,71
Yes,63,3,6,2,39
No,47,9,5,2,41
Yes,67,5,7,6,51
No,60,9,7,0,52
No,55,9,4,4,49
Yes,99,1,9,2,76
No,93,2,6,4,71
Yes,55,5,8,3,42
Yes,74,4,5,5,60
Yes,56,9,7,8,53
No,48,7,9,1,40
Yes,96,6,5,9,85
Yes,74,7,8,7,70
No,91,1,6,1,63
No,68,1,4,3,42
No,78,8,6,8,73
No,57,2,4,3,35
Yes,51,9,5,6,48
Yes,58,7,6,4,49
Yes,87,6,6,1,75
Yes,61,1,6,7,35
No,98,1,8,9,70
No,95,2,5,9,71
Yes,88,6,4,1,74
No,91,6,6,2,77
No,54,2,5,9,30
No,40,1,9,6,13
No,41,5,8,4,26
No,47,5,8,9,35
Yes,61,2,9,2,40
Yes,64,6,5,1,55
No,41,9,4,5,37
No,90,2,5,9,64
Yes,48,2,5,0,23
Yes,48,3,7,7,27
No,52,7,8,4,42
No,45,6,4,4,34
No,69,8,7,1,63
Yes,54,8,9,6,50
No,90,6,5,4,75
No,92,3,9,7,74
No,54,3,8,4,39
No,89,1,7,8,63
No,46,7,7,4,36
No,97,5,4,2,84
No,50,4,5,1,30
No,79,4,4,4,60
Yes,77,4,7,9,61
Yes,79,6,7,9,70
Yes,41,8,4,4,32
No,90,8,7,5,87
Yes,87,5,6,1,72
Yes,78,6,8,4,68
Yes,49,4,5,0,29
Yes,83,9,8,2,78
Yes,56,8,5,2,45
No,46,1,7,2,20
Yes,93,2,4,2,66
No,79,9,4,7,77
No,78,8,7,0,72
Yes,43,3,5,5,26
No,74,8,7,5,67
Yes,90,1,5,0,67
No,86,4,7,0,68
No,75,3,7,2,56
Yes,70,6,7,7,61
No,64,7,4,5,50
No,80,4,5,3,68
No,52,7,9,4,47
No,57,9,7,9,56
No,60,2,8,2,40
No,87,3,8,5,68
No,40,5,4,5,26
No,75,3,6,5,55
Yes,89,8,9,8,84
No,47,8,4,9,40
Yes,91,8,6,7,85
Yes,87,9,4,5,85
No,60,4,8,1,40
No,82,5,7,3,68
Yes,91,5,5,5,74
Yes,92,8,7,8,90
Yes,92,7,8,1,82
No,60,9,5,5,57
No,66,8,6,9,61
No,58,2,6,9,38
Yes,62,4,8,9,46
No,90,6,5,6,80
No,89,2,7,7,67
No,90,7,8,8,84
No,82,3,6,4,58
Yes,74,3,8,8,55
No,79,2,7,8,57
No,91,8,4,6,87
Yes,90,6,9,1,80
No,81,1,9,7,54
Yes,87,1,9,4,64
Yes,44,7,4,7,33
No,91,8,7,1,83
Yes,80,5,5,6,66
No,47,5,8,4,33
Yes,50,4,7,3,31
Yes,55,6,4,9,40
No,78,6,6,5,66
Yes,86,3,9,4,67
No,63,9,9,5,64
No,60,7,7,8,52
No,91,1,9,0,68
No,62,7,9,0,58
Yes,88,5,7,5,72
No,77,5,7,1,65
Yes,86,2,4,7,65
No,47,4,4,6,24
Yes,46,6,9,5,35
Yes,41,7,7,3,34
Yes,69,5,7,8,57
Yes,52,9,9,6,54
No,62,3,5,6,42
No,68,1,6,4,39
Yes,77,4,8,0,62
Yes,76,9,8,1,71
No,59,4,9,7,42
Yes,72,2,8,4,52
Yes,68,5,4,1,54
No,89,3,4,4,68
Yes,54,9,5,7,50
Yes,62,4,9,3,46
No,81,6,4,2,68
Yes,42,2,9,4,19
No,76,6,9,6,68
No,95,3,7,1,74
No,68,9,6,0,63
No,84,2,6,4,60
Yes,47,9,9,6,47
No,61,5,6,7,47
No,92,8,6,7,87
Yes,68,2,8,9,45
No,41,6,8,8,31
Yes,80,3,7,0,61
No,88,5,5,6,73
No,98,8,4,9,92
No,89,1,4,7,65
No,84,5,8,5,69
Yes,40,3,9,9,20
Yes,83,4,6,3,66
Yes,59,2,7,6,38
No,91,9,5,2,81
No,60,3,8,1,39
No,76,2,9,5,53
Yes,47,9,7,1,44
No,66,7,9,5,58
Yes,86,6,7,9,79
Yes,98,1,8,2,75
Yes,74,5,7,1,59
No,45,3,6,7,23
No,99,1,7,3,74
No,84,4,5,3,65
No,83,2,7,6,60
Yes,58,2,4,7,32
Yes,57,3,7,8,38
No,95,8,9,9,91
No,40,8,8,7,34
No,64,7,4,3,46
Yes,66,6,8,1,55
No,46,9,9,9,43
Yes,83,4,5,4,67
Yes,81,1,6,6,56
Yes,68,8,5,1,58
Yes,70,7,4,3,60
Yes,83,7,9,5,77
Yes,82,3,9,7,69
Yes,75,4,6,9,60
No,58,9,7,5,52
No,45,6,4,5,36
No,64,5,6,5,49
Yes,70,3,8,3,50
Yes,48,9,6,2,48
No,59,5,8,0,43
Yes,49,5,8,1,34
Yes,76,4,9,1,57
Yes,66,4,6,9,50
Yes,52,1,9,6,28
Yes,80,7,9,5,72
Yes,41,9,5,7,38
Yes,89,3,5,8,68
Yes,60,2,9,4,41
Yes,72,3,9,2,53
Yes,63,1,8,3,36
Yes,92,6,9,7,80
Yes,83,7,4,2,73
No,81,2,6,1,59
Yes,73,8,4,6,67
Yes,99,6,5,3,91
No,48,4,4,7,34
No,41,5,7,0,23
No,94,8,7,7,86
Yes,95,3,5,4,73
Yes,69,3,4,1,49
No,61,4,6,0,43
No,85,1,5,5,61
No,50,9,7,8,45
Yes,94,8,5,8,85
Yes,82,8,4,8,75
No,56,6,4,3,44
Yes,75,7,4,5,66
Yes,52,6,8,9,45
No,46,9,4,5,40
No,55,3,9,4,38
No,72,3,7,1,50
Yes,84,3,7,6,67
Yes,40,3,8,0,21
Yes,50,9,7,5,51
Yes,45,4,7,4,25
Yes,59,7,5,4,53
No,74,9,4,7,71
Yes,83,7,9,8,77
Yes,76,9,9,6,75
No,80,3,5,9,60
No,65,4,9,7,49
No,97,8,5,1,87
No,51,6,9,1,40
Yes,69,5,7,7,56
Yes,67,4,6,5,49
No,66,8,4,7,59
Yes,81,1,6,8,59
No,58,9,7,8,54
Yes,44,1,8,5,17
Yes,97,8,5,7,90
Yes,44,4,9,1,23
No,80,9,9,7,82
No,66,5,7,2,49
Yes,67,3,9,0,50
Yes,65,9,7,6,60
No,66,9,6,0,60
No,91,4,8,0,74
Yes,88,4,5,0,71
Yes,81,8,9,3,77
No,60,2,8,3,34
Yes,40,9,8,9,39
No,93,6,8,5,85
No,67,9,4,9,64
Yes,87,8,8,2,87
Yes,97,7,7,9,91
Yes,97,1,4,5,73
No,54,3,4,6,34
No,94,2,8,0,70
No,56,5,9,5,42
Yes,65,5,9,9,55
Yes,59,5,9,0,45
No,64,4,9,6,49
No,52,5,7,9,37
Yes,72,3,9,4,55
No,64,1,5,9,38
Yes,47,5,8,3,35
Yes,44,9,4,0,41
No,45,9,5,8,43
No,62,4,9,6,46
No,91,3,5,1,69
No,69,1,4,3,37
No,53,2,9,3,31
Yes,93,8,5,7,90
No,62,1,7,1,33
Yes,50,8,7,4,44
No,70,7,8,9,62
No,45,8,8,7,41
No,50,6,5,5,38
No,52,9,4,3,45
No,51,3,7,4,34
No,93,4,6,1,72
Yes,41,6,8,4,29
No,92,8,7,2,83
No,74,5,9,2,61
No,94,3,5,6,75
No,75,6,7,2,63
Yes,56,4,7,3,36
Yes,67,9,5,6,62
Yes,67,3,8,2,49
Yes,61,4,8,9,46
Yes,77,7,6,9,69
Yes,46,7,6,1,35
No,54,4,8,9,38
No,71,6,8,6,62
Yes,50,3,8,4,30
No,63,6,8,0,52
No,42,2,7,9,16
No,69,8,6,7,66
No,45,2,5,2,20
No,97,7,4,6,86
Yes,41,9,5,5,38
Yes,53,1,9,9,30
Yes,80,8,4,5,71
Yes,57,7,7,7,49
Yes,90,6,9,3,79
Yes,83,6,6,3,69
No,70,6,4,2,56
Yes,52,9,8,0,47
No,65,2,9,9,41
No,83,1,7,2,58
Yes,51,6,4,0,38
Yes,57,8,8,5,52
Yes,48,3,9,7,25
No,88,1,7,2,62
Yes,60,9,9,3,60
Yes,87,1,4,4,63
Yes,88,3,8,6,72
No,92,8,6,5,84
Yes,95,3,7,1,74
Yes,79,4,4,6,61
No,82,8,8,7,77
No,63,1,6,0,36
No,73,6,9,5,65
Yes,47,1,8,8,23
Yes,83,1,6,6,60
No,92,8,4,4,83
Yes,72,4,8,9,56
No,62,1,8,9,37
No,52,7,5,8,43
No,93,5,7,1,76
No,92,5,8,6,83
No,88,1,6,8,63
Yes,53,6,7,1,39
Yes,53,9,4,9,48
Yes,55,9,7,5,53
Yes,88,8,5,8,84
No,77,5,4,2,63
Yes,97,1,8,7,73
No,99,9,9,4,99
No,78,1,4,6,52
Yes,65,8,4,2,58
Yes,65,5,5,7,50
No,40,3,6,1,18
Yes,71,7,4,7,62
Yes,96,7,6,1,87
Yes,54,9,7,6,53
Yes,91,7,9,1,87
No,60,3,5,6,37
No,57,1,8,0,31
Yes,69,8,4,5,63
No,99,3,9,9,81
No,97,8,9,6,95
Yes,52,8,6,3,45
Yes,63,5,4,0,48
No,69,1,9,5,47
No,41,7,5,3,31
No,58,5,8,2,43
Yes,86,8,7,3,82
No,83,9,7,5,80
No,86,7,6,4,76
Yes,64,7,9,1,57
No,89,1,7,1,64
Yes,53,4,6,2,35
Yes,45,2,8,5,24
No,51,2,4,0,30
Yes,59,2,5,6,38
Yes,62,4,8,7,45
No,69,1,8,6,44
Yes,69,4,7,2,53
No,77,2,7,5,53
Yes,97,5,5,3,84
Yes,69,3,4,4,47
No,80,8,8,2,76
No,69,4,9,4,57
No,96,1,7,5,71
Yes,97,1,8,7,74
No,75,3,4,5,54
Yes,88,9,6,8,84
No,73,7,4,9,62
Yes,55,2,8,9,35
No,63,9,8,9,62
Yes,53,2,5,9,30
No,65,3,8,3,47
Yes,47,2,7,1,25
Yes,53,3,9,8,40
Yes,70,6,5,2,56
Yes,41,9,8,6,38
No,87,9,4,3,86
Yes,43,7,8,0,38
No,40,3,4,7,17
Yes,94,4,4,3,75
No,59,6,8,5,48
Yes,98,5,4,6,87
Yes,53,2,9,7,32
No,79,6,6,9,68
No,64,3,5,1,42
Yes,99,8,8,8,96
No,64,2,6,9,42
No,42,1,4,2,18
No,44,9,4,0,41
Yes,77,3,5,1,54
No,93,1,6,7,67
Yes,65,7,6,9,57
No,79,5,8,5,65
No,77,5,4,0,62
Yes,77,1,7,8,56
No,43,9,8,6,39
No,46,7,8,9,38
No,69,8,8,2,65
No,69,9,5,6,68
No,95,6,5,5,82
No,58,5,8,2,44
No,78,6,9,7,67
Yes,74,2,7,0,53
Yes,79,4,6,4,61
Yes,72,3,6,7,53
Yes,72,7,4,2,61
Yes,53,9,6,9,49
No,77,5,6,5,61
Yes,49,6,7,9,38
Yes,96,2,6,1,76
No,67,3,7,8,47
Yes,53,3,5,1,32
No,75,9,7,4,71
No,77,7,5,2,69
Yes,55,8,7,9,53
Yes,99,9,8,8,100
No,60,6,9,8,49
No,67,4,5,6,48
Yes,72,1,5,9,45
No,45,8,6,4,40
Yes,80,7,5,8,71
Yes,54,2,7,6,34
Yes,83,8,8,1,76
Yes,42,5,8,9,29
No,82,7,6,0,71
No,86,4,7,9,69
Yes,74,5,7,9,58
Yes,53,8,4,3,43
No,41,1,5,9,17
No,68,1,6,7,41
No,43,4,8,5,27
No,65,3,9,1,45
No,90,2,4,4,65
Yes,51,3,7,8,31
Yes,41,1,5,5,14
Yes,56,1,8,5,33
Yes,74,6,4,6,60
No,49,5,7,4,34
No,87,8,8,2,82
Yes,61,2,8,2,40
Yes,80,4,7,4,66
No,82,8,7,3,76
Yes,60,6,6,4,46
Yes,54,1,8,8,31
No,74,4,7,4,57
No,87,1,9,3,65
No,60,2,9,3,38
Yes,60,5,4,0,46
No,60,8,5,9,53
No,99,8,9,3,97
Yes,83,3,6,3,63
No,71,4,7,8,55
Yes,94,6,5,3,79
Yes,44,3,6,6,26
Yes,78,2,8,0,55
Yes,48,6,5,6,37
No,92,5,9,1,78
Yes,57,5,6,7,45
No,60,5,7,0,45
No,47,5,7,9,34
No,83,3,6,2,66
No,91,7,8,7,79
No,73,6,9,9,63
Yes,49,4,6,7,32
No,90,2,4,4,64
Yes,80,9,6,4,78
Yes,96,1,6,7,69
Yes,63,4,9,9,46
No,79,1,7,4,54
No,63,6,8,8,51
No,95,4,6,0,78
No,71,5,5,4,54
Yes,95,5,7,2,80
No,72,9,7,2,67
No,77,1,6,1,48
Yes,83,2,9,2,61
Yes,96,6,5,6,83
Yes,95,5,6,7,82
Yes,90,7,5,7,78
Yes,98,3,7,7,78
Yes,88,3,5,0,70
Yes,73,2,6,6,48
No,50,3,4,1,26
No,70,1,4,9,46
Yes,57,5,5,3,42
Yes,62,5,9,4,46
No,99,7,6,0,91
Yes,61,4,8,3,47
Yes,82,3,4,3,61
Yes,57,1,7,8,31
Yes,79,8,6,8,71
Yes,86,3,6,9,66
No,80,2,4,0,52
Yes,86,4,8,7,71
Yes,78,3,7,3,60
Yes,59,1,8,3,32
No,52,3,7,4,33
No,84,2,4,1,56
Yes,40,8,6,0,32
Yes,91,6,7,4,76
Yes,43,9,6,6,40
Yes,63,8,5,9,60
No,75,3,5,8,54
No,75,5,4,1,59
Yes,84,7,4,7,74
Yes,41,5,9,6,29
No,67,8,4,1,61
No,65,5,5,4,50
Yes,62,1,7,6,36
Yes,54,5,8,2,41
Yes,75,4,4,1,60
No,66,6,8,5,56
No,45,3,8,9,23
No,74,5,5,5,63
No,78,2,9,3,54
Yes,77,6,7,0,64
No,74,6,5,4,64
No,75,5,4,0,58
No,49,6,5,7,38
Yes,69,7,5,1,60
No,92,5,5,8,79
No,80,1,4,8,57
No,77,8,4,2,69
Yes,68,4,5,5,51
No,91,9,5,8,86
Yes,98,6,8,6,90
Yes,82,1,7,3,57
No,78,3,8,2,61
Yes,89,3,9,1,71
No,43,4,7,9,30
Yes,44,6,9,9,34
Yes,43,7,7,0,34
No,75,4,5,9,58
No,98,6,8,0,85
Yes,84,1,7,3,55
Yes,55,8,9,3,51
Yes,64,7,7,8,53
Yes,53,9,4,9,51
No,50,3,7,0,31
Yes,68,2,5,3,44
Yes,73,1,6,2,48
No,61,3,4,8,41
Yes,53,5,6,4,40
No,95,2,5,8,72
No,63,3,6,9,41
No,98,4,7,5,78
Yes,78,7,6,8,70
No,65,3,8,0,41
No,82,9,5,3,78
No,75,8,8,3,70
Yes,78,4,6,9,61
Yes,55,1,8,9,33
Yes,97,1,4,5,71
Yes,77,1,6,9,51
No,98,1,9,0,72
No,71,8,8,9,69
No,45,3,7,4,21
Yes,73,6,6,2,61
No,95,3,9,0,76
Yes,47,5,4,5,30
Yes,69,7,7,2,59
Yes,66,2,6,3,45
No,46,6,7,8,39
No,66,6,6,1,53
Yes,64,3,6,0,43
No,95,6,5,9,85
Yes,85,5,8,5,70
No,80,2,6,0,56
Yes,54,9,4,0,52
Yes,64,8,9,6,65
Yes,61,3,8,1,39
No,57,8,5,3,48
No,51,9,8,3,47
No,62,3,8,1,41
No,90,3,6,5,72
No,84,2,4,9,61
Yes,78,8,6,1,74
No,64,1,4,7,38
Yes,49,8,4,3,42
No,69,7,7,0,60
No,49,7,6,6,35
No,73,3,5,5,52
Yes,85,1,9,5,61
No,52,4,8,2,32
Yes,93,9,7,9,95
No,68,5,5,6,53
Yes,77,1,9,5,54
Yes,80,5,9,9,70
Yes,84,8,6,9,78
Yes,48,8,4,8,42
No,52,5,6,2,33
No,76,9,9,2,75
Yes,53,1,6,3,26
No,76,4,7,2,58
Yes,48,3,5,3,29
No,47,2,9,5,29
No,78,8,7,0,70
No,79,7,5,1,67
Yes,93,9,7,9,93
No,42,2,8,5,21
Yes,94,4,4,5,74
No,95,6,4,0,82
Yes,86,3,4,5,65
No,79,8,8,8,75
Yes,72,3,9,7,55
Yes,71,2,9,9,54
Yes,46,3,8,4,26
No,58,6,4,3,48
Yes,73,2,4,5,49
No,53,8,5,4,49
Yes,89,1,5,5,64
Yes,86,7,6,9,81
Yes,85,2,7,2,64
No,95,6,5,6,82
No,96,2,5,7,74
No,58,2,5,4,32
No,90,8,5,4,83
No,93,2,8,3,68
No,98,7,6,9,90
No,65,3,5,4,44
Yes,56,8,9,9,51
Yes,93,7,7,7,86
No,67,8,5,4,62
No,58,7,8,8,48
No,66,6,9,0,56
No,87,7,4,6,79
No,91,5,4,4,74
Yes,96,7,6,3,82
No,58,1,4,2,32
No,72,1,5,9,46
No,90,9,8,6,88
Yes,46,5,6,1,35
Yes,68,5,9,4,56
Yes,94,3,5,1,74
Yes,82,5,4,6,67
No,44,3,7,5,23
Yes,69,9,5,9,67
Yes,88,9,7,6,86
Yes,82,6,9,8,70
Yes,95,1,7,1,68
Yes,97,7,9,8,91
No,47,7,6,6,42
Yes,81,4,8,1,62
Yes,51,8,4,9,44
Yes,81,6,4,1,67
No,52,4,5,3,35
No,65,4,4,1,46
No,57,2,6,0,31
No,81,2,4,5,59
No,90,4,5,9,71
No,91,5,4,4,74
No,88,8,8,2,80
No,59,6,9,0,49
Yes,55,4,7,8,39
Yes,76,7,7,7,67
No,42,8,9,5,38
Yes,66,2,7,5,47
No,54,7,8,3,41
Yes,97,2,6,1,75
Yes,73,2,5,3,53
No,84,8,8,1,81
Yes,61,2,5,6,37
No,79,9,6,8,77
No,62,1,8,1,36
Yes,98,9,4,8,95
No,88,1,6,8,65
Yes,43,2,7,7,18
Yes,90,6,8,0,80
No,93,6,6,4,81
No,96,1,6,9,73
No,80,7,8,3,74
No,62,8,7,6,57
No,86,2,9,7,64
Yes,99,8,7,9,97
No,48,9,6,7,42
Yes,63,6,5,1,48
No,60,5,9,2,46
Yes,80,9,9,9,79
Yes,85,9,6,9,83
Yes,94,1,8,6,70
Yes,92,3,8,3,73
Yes,55,9,8,5,56
No,95,2,7,7,71
Yes,94,4,4,7,76
No,64,4,8,6,49
Yes,65,2,8,1,43
No,88,3,9,1,67
Yes,84,3,5,2,63
Yes,48,1,5,3,18
No,54,6,6,0,43
No,78,8,6,4,72
Yes,72,3,6,6,57
Yes,40,5,8,9,25
No,44,1,5,4,15
Yes,95,7,6,6,88
Yes,48,1,5,4,24
No,83,9,8,9,81
Yes,45,8,9,7,40
Yes,67,7,8,6,60
No,84,7,6,0,73
Yes,65,5,8,0,52
No,67,5,8,4,53
No,79,5,5,1,65
Yes,54,1,4,8,30
Yes,45,8,7,1,39
No,66,1,6,8,43
No,77,4,4,9,59
Yes,43,9,9,1,38
No,50,9,6,3,44
Yes,60,5,4,2,44
No,69,4,8,5,53
No,57,3,6,3,37
No,74,3,4,8,52
Yes,42,5,7,8,30
No,51,1,8,9,22
No,66,5,6,8,51
No,92,6,9,2,82
No,69,7,9,2,63
Yes,60,9,6,3,58
No,77,3,4,8,58
Yes,60,2,6,5,38
No,99,3,8,8,80
No,77,9,5,7,70
Yes,79,7,9,6,72
Yes,54,9,4,4,48
No,57,2,7,8,36
No,91,5,6,3,73
No,68,4,8,3,51
Yes,87,2,6,7,63
No,77,9,7,3,74
Yes,99,9,8,6,98
No,60,6,7,3,45
Yes,56,6,8,0,45
Yes,80,8,5,9,74
Yes,90,6,9,8,81
No,57,1,8,3,30
No,96,4,7,2,77
Yes,94,7,4,2,86
Yes,76,2,9,8,58
Yes,99,9,5,7,99
No,77,8,6,9,69
No,51,8,5,6,47
No,50,7,5,6,42
Yes,87,4,6,3,73
No,91,2,8,2,71
No,88,3,5,3,68
No,59,6,9,5,47
Yes,48,5,5,3,31
No,40,8,4,3,31
No,97,6,9,1,86
No,42,6,4,6,27
No,60,1,9,5,32
No,62,4,7,1,41
Yes,48,5,6,4,33
Yes,93,3,9,5,75
Yes,58,9,9,4,57
Yes,84,1,8,3,59
No,94,6,8,8,87
No,85,6,7,2,72
Yes,91,5,8,1,78
Yes,58,5,8,8,46
Yes,62,5,4,7,47
No,66,6,8,8,58
No,66,8,8,9,63
No,78,2,7,2,56
Yes,75,6,7,0,62
Yes,51,1,5,0,23
Yes,94,4,8,2,73
No,66,3,8,3,46
No,85,9,9,1,80
Yes,73,3,8,7,59
Yes,72,6,4,2,60
No,67,1,9,3,41
No,70,6,8,5,61
Yes,71,4,4,9,51
Yes,89,8,5,5,82
No,59,9,9,1,55
Yes,79,4,6,5,64
Yes,74,6,8,3,61
No,70,1,9,4,44
Yes,97,4,7,6,81
No,70,7,9,6,64
Yes,77,1,7,5,53
No,61,8,8,9,55
Yes,84,6,4,5,72
Yes,80,5,7,5,65
Yes,48,9,9,3,44
No,91,2,9,2,70
Yes,48,5,7,0,34
Yes,54,6,5,2,41
No,52,7,5,2,43
Yes,61,5,5,8,48
No,55,9,7,2,46
No,71,1,7,7,47
No,41,7,9,7,37
Yes,65,7,8,2,56
No,53,4,8,9,40
Yes,98,9,4,9,96
No,77,5,7,5,63
Yes,73,4,8,7,58
No,47,7,8,7,36
No,75,4,5,9,61
Yes,60,3,5,9,39
No,95,9,5,8,90
Yes,85,8,6,8,79
No,82,1,8,7,58
Yes,95,7,5,6,89
No,67,9,5,9,64
No,85,8,7,2,78
Yes,83,8,9,6,79
No,87,6,5,3,72
Yes,45,4,7,1,26
Yes,59,8,4,7,52
No,70,3,5,1,49
No,72,9,9,0,66
No,83,2,7,4,59
Yes,46,2,9,9,28
Yes,47,7,5,8,39
No,48,4,4,4,31
Yes,41,8,5,1,33
No,56,9,7,9,57
No,91,7,4,3,83
No,84,5,4,7,69
Yes,76,8,4,6,71
Yes,81,4,6,4,62
No,83,2,7,3,58
Yes,56,6,6,4,46
No,92,9,9,6,93
No,77,1,4,4,48
Yes,74,7,6,7,68
No,99,9,5,6,97
No,86,9,6,6,82
No,78,3,8,8,57
No,69,5,9,7,55
No,45,8,4,7,37
Yes,43,8,4,5,35
Yes,90,4,9,6,72
No,76,1,9,7,51
Yes,74,1,7,4,50
No,97,4,5,9,82
No,96,6,9,1,84
No,48,8,9,6,46
No,45,6,7,9,34
Yes,52,9,9,2,55
Yes,98,9,6,9,95
No,61,2,8,7,40
Yes,67,1,8,5,42
No,69,2,8,3,45
Yes,91,5,9,1,80
No,75,4,8,6,60
No,41,4,5,0,21
No,97,9,6,6,95
Yes,75,8,8,9,72
Yes,47,6,4,9,35
No,84,1,9,6,58
Yes,81,2,6,9,59
Yes,89,6,5,2,77
Yes,48,2,8,3,23
Yes,40,5,5,3,26
Yes,52,5,9,3,39
Yes,89,6,8,8,79
Yes,54,6,4,5,39
Yes,71,6,6,9,61
Yes,73,2,4,8,47
Yes,82,3,8,3,63
Yes,70,6,7,6,61
Yes,53,8,6,9,51
Yes,93,1,5,8,68
No,86,1,8,9,66
No,53,2,4,2,29
Yes,87,6,9,2,78
Yes,94,9,7,5,94
Yes,68,4,9,7,56
No,86,3,8,0,68
No,58,8,5,3,50
Yes,66,9,4,7,62
Yes,48,5,6,5,31
Yes,76,9,7,1,73
Yes,76,2,8,7,57
Yes,82,3,8,0,60
No,67,7,8,0,56
Yes,91,7,8,6,88
No,96,6,4,9,84
Yes,63,6,6,2,48
Yes,67,2,5,7,41
No,75,6,7,8,65
No,91,4,8,7,74
Yes,57,3,9,0,38
No,64,2,8,0,40
Yes,74,1,6,5,49
No,43,5,6,0,30
No,53,2,4,7,29
Yes,78,2,4,5,57
Yes,65,7,9,4,58
No,47,8,9,5,40
Yes,63,8,4,3,60
No,55,4,7,0,41
No,59,1,9,6,34
Yes,54,7,4,9,46
No,46,1,8,8,24
Yes,97,4,4,3,79
Yes,56,8,7,3,52
No,61,2,4,8,36
